CSLB #,Company List
596651,The Solar Company
888104,SolarCity/Tesla
581981,Your Energy Source
468117,PETERSEN-DEAN INC.
453302,Sierra Pacific Home & Comfort
958519,Go Solar Now Inc
441690,SUNWORKS UNITED INC
929505,NOR-CAL HOME IMPROVEMENTS
954036,AUBURN SOLAR
875772,QUALITY FIRST HOME IMPROVEMENT
944323,Skylink Solar
968280,Sunharvest Solar
990014,SUN Incorporated
843326,Master Craft Construction Inc
953640,Magic Sun Solar
915598,Heliopower
468117,PETERSEN-DEAN INC.
543093,GRASS VALLEY AIR COND INC
728304,SYNTROL PLUMBING HEATING & AIR
952597,SEPAC ENERGY SYSTEMS INC
0,OWNER
549017,SKYLINE ENTERPRISES
977147,ENERGY SAVING PROS
479843,MEN AT WORK THOMPSON & SUNZ
952101,E S ELECTRICAL CONSTRUCTION
850306,ROBERTS CONSTRUCTION
965111,Westhaven Inc
721912,SCOTT KASTNING CONSTRUCTION
922628,SONRAY SOLAR INC 
935263,VERENGO INC
990049,SMART ENERGY SOLAR INC
953430,DC Solar
868816,SEG
949707,Hooked on Solar
984572,PlanIt Solar
582499,Lifetime Solar
927805,Heliotek Corporation
750184,SUNRUN INSTALLATION SERVICES INC
779624,Cal Solar
905428,Andrew Jennings
815239,DAN THOMASSEN
518784,Byers
973756,VIVINT SOLAR DEVELOPER
508476,NICOSIA CONSTRUCTION
885341,BIG MOUNTAIN HEATING & AIR INC
1001460,Sun At Work
895236,METRO RF SERVICES INC
984854,SOLAR ENERGY DESIGNS
998627,INFINITY ENERGY INC
935260,SOLARCO INC
822843,KELLY BROTHERS PAINTING
683514,CLARKE CONST. / NUSOLAR TECH
559305,GILMORE SERVICES INC
359060,NEXUS ENERGY SYSTEMS
850387,EMPYREAN ELECRTIC
922883,DBA CENERGY POWER
647337,LIDINI COMPANY
909516,GREEN NRG
469782,LANSER FRANK
543917,THERIEN CONST
984488,SLINGSHOT POWER INC
853351,ALTERNATIVE ENERGY SYSTEMS INC
498806,K DESIGNERS JUDSON ENTERPRISE
494891,FOOTHILL ELECTRIC
908549,WEST COAST SOLAR INC
999550,N R G HOME SOLAR
868885,MATSON - SERVICES
997178,QUICK SYSTEMS
686451,BROWER MECHANICAL INC
471260,SIERRA SOLAR ELECTRIC
997253,GOLDEN GATE ELECTRIC SERVICE
870321,MICHAEL SAMPLE CONSTRUCTION
933617,THOMAS COTE ELECTRIC
310626,A & A AIR COND HEATING
162634,BEUTLER HEATING & AIR
1010200,GRAHAM SOLAR SYSTEMS
984866,FOUR PHASE ENERGY CORP
991484,ROBERT K BREWER JR
998682,FINDLETON ELECTRIC
522050,SOLAR REVOLUTION CONST
764033,SKYLER ELECTRIC CO INC
969975,SUNRUN INC
396821,BALLARD CONSTRUCTION CO
808851,PLANET HOME
1014325,ZING SOLAR OF CALIFORNIA LLC
550110,AZTEC SOLAR INC
1017319,LANDMARK CAPITAL INC
978152,SEMPER SOLARIS CONSTRUCTION INC
990593,ENABLE ENERGY INC
916517,GREEN AIR HEATING AND AIR CONDITIONING INC
921371,1ST LIGHT ENERGY INC
1009260,ILUM SOLAR
1014971,GOLD RUSH ENERGY SOLUTIONS
974916,RESPONSIBLE SOLAR
1022147,VENTURE SOLAR ENERGY
924220,M E M ELECTRICAL INC
1009107,SST CONSTRUCTION LLC
920108,CALIFORNIA SOLAR SYSTEMS INC
1025715,SYNERGY POWER
463374,MICHAEL J O'SULLIVAN CONSTRUCTION
1018941,BOGETTI CONSTRUCTION INC
280226,CALIFORNIA GREEN ENERGY CONSTRUCTION
822843,KELLY BROTHERS PAINTING
1013753,5 STAR ROOFING
1020761,BRIGHT PLANET SOLAR INC
